"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11130.4823508057","3216.14160827338","3650.45324603731","4244.21876546474","4458.4300896243","4980.49798949852","5287.10433677531","5300.50283221139","5737.43369188126","6830.87700739482","7034.100368245","8310.40926167973","10097.8351979018","10627.5104868045","11877.521604434","13515.9302649105","14763.9985893339","17033.2240428042","12653.9399679035","13685.5845546711","13922.0657080249","14373.6334841599","14306.6488333475","14161.2672407547","14703.7271265178","14567.9284766447","15822.1009169693","16527.5255146528","18351.5219485972","21005.9998814897","19245.8967066972","20752.4688279537","20858.6080122416","",
"American Samoa","ASM","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86196.5588536756","85249.7505740098","87252.7249418506","88553.1208472518","90519.7620571546","94126.123673874","95752.4003212476","100628.652758684","103661.631522207","102809.407504273","104688.485326641","106376.939210422","110379.080417964","109302.243859523","108812.139566301","107502.403238481","109556.776018012","108933.471386604","115538.579516982","117622.620814492","118071.148570566","124554.29813193","129277.912868822","130345.508750155","135642.488783088","137108.300269415","134361.739575665","132819.892265617","137275.200760203","137866.312824573","134832.759103041","132267.75946066","125922.253107544","",
"Austria","AUT","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59628.8171005096","60358.4665375238","60824.9959368073","60742.4906035019","63529.6892871211","69369.3960312491","71864.3981112824","73820.2404002039","74523.7125913311","76382.6058414482","78668.0505975176","78329.6511743808","79437.6018470244","87549.7623150454","88438.9830273017","87699.3637409591","92379.4172817891","95904.4179094671","90354.2284843603","91990.900790586","89319.3116669177","89557.2998644536","90175.16090951","90601.1343712036","89458.8744061212","91789.4111422248","96032.5613883698","95486.5016017942","95498.3539407535","92813.7151861154","95859.9982235227","95196.8646988027","94207.0050986484","",
"Azerbaijan","AZE","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9378.27934692275","7434.42945261669","5461.01205384826","4864.53113513952","6030.65612550818","7905.45747421775","11986.8026264715","12187.8510406452","10844.6759024061","11154.453305725","12006.5512776423","12183.173005229","14795.1984825908","20750.1199374918","30350.9222196553","40454.352874846","45376.8065190585","46571.7867328483","44328.8645795211","40436.8777210648","38618.9338995179","39459.845824643","38977.1426734394","37983.9672095372","34303.5635143395","32714.0961277633","31827.8266515164","31801.8594329383","29466.2718776093","31687.1272928007","30817.9521102393","30673.4325458767","",
"Burundi","BDI","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9562.15518107437","10220.5256544827","9660.03278679811","8000.95703189952","6187.77188453124","6692.37230187251","6785.85276514014","6511.4972778472","6542.21132880899","5922.87340096532","5304.66989953307","4702.00821925733","4224.83287274909","3705.19614374168","3552.27954171933","3521.94647751151","3458.0168632631","3234.77848635408","3299.24836579043","3048.95202594935","2898.64619259461","2908.37502589688","2778.73187209207","2772.45026636701","2723.03540168554","2676.45820126883","2728.76496777158","3043.60097431737","3099.52189606816","3101.67228759058","3055.09451436191","3056.78359047308","3004.02537340988","",
"Belgium","BEL","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62114.2188169905","64918.2576258271","68205.9723288864","69745.3023108704","72612.410965916","74450.978167786","77228.233502016","76072.0334396283","78968.7363694023","80819.5234633798","82008.9336485403","82147.6874192142","84666.0064837251","81004.7747754458","81946.4628437524","83435.2879856531","84746.05355367","88213.6440109931","89029.0243812129","91353.994561155","91656.3470611809","90516.0364103558","92260.2057696071","89279.4872485316","91856.9581176642","89268.5860747916","91700.6215619599","97378.7590064204","96020.7925016179","",
"Benin","BEN","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2353.83779190613","2476.78740474385","2300.14757567651","2307.63944375086","2352.94368411013","2462.38963977191","2457.92041423948","2364.78871877873","2313.21673356091","2428.72365415731","2644.86042121763","2587.4475827952","2517.21136737484","2441.95007517694","2500.76309816704","2476.68470859486","2340.0105387667","2052.33951149223","2012.57576805885","2015.4791621312","1945.64000611606","1898.2012668707","1893.08927741302","1850.00496750854","1994.55442586039","1903.44137712103","1805.16883747009","1786.40651451013","1937.81975682775","1959.04039302734","2038.35498318933","2138.35686148422","2223.72659289072","",
"Burkina Faso","BFA","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","823.045326846787","846.9026245019","876.700521599498","824.837150222789","809.578919072067","782.113506781116","919.729402629845","931.350860751295","1212.51057879834","1144.34042242923","1159.27673981105","1189.64052126327","1301.85650714361","1339.382986741","1360.73181102578","1381.28359069033","1526.07119426976","1458.97462110416","1598.05220994064","1741.37395970114","1912.619204932","1832.3815427157","1875.71432460999","2028.38773607285","2160.70204660624","2262.44571160179","2390.81869043032","2615.4590727641","2873.24555872176","3185.59741638398","3401.61923509478","3175.48515162248","3136.57142281965","",
"Bangladesh","BGD","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1911.13681821205","2110.78801757839","2350.53591378275","2609.35087738817","2933.56451066977","3181.12281851317","3231.18679387269","3383.46931344216","3404.31946222226","3451.22000585547","3299.60239892141","3092.77526815164","2915.80287660035","2979.8510021757","3063.84194107294","3287.89322841734","3374.3966031781","3399.13233496222","3421.87260123491","3369.95599688727","3475.6867443914","3573.42036706574","3673.24950353942","3968.67323044434","4318.76346864622","4746.11643798403","4876.05176177965","5253.81891336381","5731.79672028269","5869.69733911734","6237.09253306372","6646.40667014376","6967.54173913088","",
"Bulgaria","BGR","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4846.00312588093","4744.75335551231","4744.58520263306","5022.30076068927","4822.3984326588","5138.80475168356","5916.88016039535","6203.99234722986","6615.10519661631","7859.63551729837","8618.46200088807","9077.18710292434","9608.96436560582","9453.37717495785","9469.95402963333","9832.12147375365","10216.5036680219","10186.0362730374","10587.8409012388","11114.6130890069","12342.0839679491","12961.0831877083","13262.767505502","13313.444842402","13779.1450453912","14572.432057412","14103.8605290388","13936.0989116051","13742.152606409","13123.8898886277","13248.9167211268","14930.4562016908","14522.7696490307","",
