feature,importance
Budget_Line_PV D262,0.0
Budget_Line_PV D264,0.0
Budget_Line_PV D272,0.0
Budget_Line_PV D279,0.0
Budget_Line_PV D289,0.0
Budget_Line_PV D341,0.0
Budget_Line_PV D464,0.0
Budget_Line_PV D466,0.0
Budget_Line_PV D467,0.0
Budget_Line_PV D471,0.0
Budget_Line_PV D475,0.0
Budget_Line_PV D477,0.0
Budget_Line_PV D489,0.0
Budget_Line_PV D490,0.0
Budget_Line_PV D501,0.0
Budget_Line_PV D502,0.0
Budget_Line_PV D503,0.0
Budget_Line_PV D520,0.0
Budget_Line_PV D525,0.0
Budget_Line_PV D788,0.0
Budget_Line_PV DN004,0.0
Budget_Line_PV DN01L,0.0
Budget_Line_PV DN01P,0.0
Budget_Line_PV DN01W,0.0
Budget_Line_PV DN027,0.0
Budget_Line_PV DN028,0.0
Budget_Line_PV DN02O,0.0
Budget_Line_PV DN02Y,0.0
Budget_Line_PV DN038,0.0
Budget_Line_PV DN04W,0.0
Budget_Line_PV DN05C,0.0
Budget_Line_PV DN05L,0.0
Budget_Line_PV DN067,0.0
Budget_Line_PV DN06E,0.0
Budget_Line_PV DN06W,0.0
Budget_Line_PV DN075,0.0
Budget_Line_PV DN07E,0.0
Budget_Line_PV DN07Z,0.0
Budget_Line_PV DN08H,0.0
Budget_Line_PV DN091,0.0
Budget_Line_PV DN099,0.0
Budget_Line_PV DN122,0.0
Budget_Line_PV DN123,0.0
Budget_Line_PV DN124,0.0
Budget_Line_PV DN132,0.0
Budget_Line_PV DN134,0.0
Budget_Line_PV DN185,0.0
Budget_Line_PV DN195,0.0
Budget_Line_PV DN204,0.0
Budget_Line_PV DN222,0.0
Budget_Line_PV DN268,0.0
Budget_Line_PV DN277,0.0
Budget_Line_PV DN279,0.0
Budget_Line_PV DN285,0.0
Budget_Line_PV DN288,0.0
Budget_Line_PV DN290,0.0
Budget_Line_PV DN291,0.0
Budget_Line_PV DN304,0.0
Budget_Line_PV DN329,0.0
Budget_Line_PV DN332,0.0
Budget_Line_PV DN333,0.0
Budget_Line_PV DN354,0.0
Budget_Line_PV DN364,0.0
Budget_Line_PV DN375,0.0
Budget_Line_PV DN381,0.0
Budget_Line_PV DN394,0.0
Budget_Line_PV DN406,0.0
Budget_Line_PV DN409,0.0
Budget_Line_PV DN412,0.0
Budget_Line_PV DN413,0.0
Budget_Line_PV DN420,0.0
Budget_Line_PV DN421,0.0
Budget_Line_PV DN424,0.0
Budget_Line_PV DN448,0.0
Budget_Line_PV DN464,0.0
Budget_Line_PV DN576,0.0
Budget_Line_PV DN612,0.0
Budget_Line_PV DN645,0.0
Budget_Line_PV DN654,0.0
Budget_Line_PV DN655,0.0
Budget_Line_PV DN656,0.0
Budget_Line_PV DN669,0.0
Budget_Line_PV DN686,0.0
Budget_Line_PV DN741,0.0
Budget_Line_PV DN766,0.0
Budget_Line_PV DN767,0.0
Budget_Line_PV DN784,0.0
Budget_Line_PV DN789,0.0
Budget_Line_PV DN791,0.0
Budget_Line_PV DN818,0.0
Budget_Line_PV DN820,0.0
Budget_Line_PV DN829,0.0
Budget_Line_PV DN831,0.0
Budget_Line_PV DN853,0.0
Budget_Line_PV DN860,0.0
Budget_Line_PV DN921,0.0
Budget_Line_PV DN933,0.0
Budget_Line_PV DN957,0.0
Budget_Line_PV DN959,0.0
Budget_Line_PV DN962,0.0
Budget_Line_PV DN988,0.0
Budget_Line_PV DN989,0.0
Budget_Line_PV DN991,0.0
Budget_Line_PV DN993,0.0
Budget_Line_PV DN994,0.0
Budget_Line_PV DN995,0.0
Budget_Line_PW D005,0.0
Budget_Line_PW D007,0.0
Budget_Line_PW D308,0.0
Budget_Line_PW DN004,0.0
Budget_Line_PW DN015,0.0
Budget_Line_PW DN01G,0.0
Budget_Line_PW DN01H,0.0
Budget_Line_PW DN02A,0.0
Budget_Line_PW DN02B,0.0
Budget_Line_PW DN02C,0.0
Budget_Line_PW DN02J,0.0
Budget_Line_PW DN03B,0.0
Budget_Line_PW DN03C,0.0
Budget_Line_PW DN03E,0.0
Budget_Line_PW DN03F,0.0
Budget_Line_PW DN03G,0.0
Budget_Line_PW DN03I,0.0
Budget_Line_PW DN03J,0.0
Budget_Line_PW DN03V,0.0
Budget_Line_PW DN061,0.0
Budget_Line_PW DN070,0.0
Budget_Line_PW DN077,0.0
Budget_Line_PW DN08L,0.0
Budget_Line_PW DN090,0.0
Budget_Line_PW DN128,0.0
Budget_Line_PW DN237,0.0
Budget_Line_PW DN243,0.0
Budget_Line_PW DN246,0.0
Budget_Line_PW DN249,0.0
Budget_Line_PW DN257,0.0
Budget_Line_PW DN284,0.0
Budget_Line_PW DN317,0.0
Budget_Line_PW DN325,0.0
Budget_Line_PW DN361,0.0
Budget_Line_PW DN371,0.0
Budget_Line_PW DN379,0.0
Budget_Line_PW DN382,0.0
Budget_Line_PW DN420,0.0
Budget_Line_PW DN436,0.0
Budget_Line_PW DN460,0.0
Budget_Line_PW DN497,0.0
Budget_Line_PW DN506,0.0
Budget_Line_PW DN512,0.0
Budget_Line_PW DN518,0.0
Budget_Line_PW DN586,0.0
Budget_Line_PW DN630,0.0
Budget_Line_PW DN653,0.0
Budget_Line_PW DN673,0.0
Budget_Line_PW DN722,0.0
Budget_Line_PW DN725,0.0
Budget_Line_PW DN780,0.0
Budget_Line_PW DN815,0.0
Budget_Line_PW DN816,0.0
Budget_Line_PW DN876,0.0
Budget_Line_PW DN928,0.0
Budget_Line_PW DN940,0.0
Budget_Line_PW DN943,0.0
Budget_Line_PW DN945,0.0
Budget_Line_PW DN977,0.0
Budget_Line_PW DN984,0.0
Budget_Line_PW MN02A,0.0
Budget_Line_S  D129,0.0
Budget_Line_T  D005,0.0
Budget_Line_TF D005,0.0
Budget_Line_TF D503,0.0
Budget_Line_WP D169,0.0
Budget_Line___MISSING__,0.0
maintenance_flag_Unknown,0.0
is_synthetic_Unknown,0.0
